candidate_id,candidate_name,core,spacer,anchor,substituent,design_family,smiles,canonical_smiles
VSAM-L0095,carbazole_C2_CN/F-Ph,carbazole,C2,phosphonic acid,CN/F-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C#N)cc2c2cc(c3ccc(F)cc3)ccc21,N#Cc1ccc2c(c1)c1cc(-c3ccc(F)cc3)ccc1n2CCP(=O)(O)O
VSAM-L0096,carbazole_C2_CN/Cl-Ph,carbazole,C2,phosphonic acid,CN/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C#N)cc2c2cc(c3ccc(Cl)cc3)ccc21,N#Cc1ccc2c(c1)c1cc(-c3ccc(Cl)cc3)ccc1n2CCP(=O)(O)O
VSAM-L0097,carbazole_C2_CN/Me-Ph,carbazole,C2,phosphonic acid,CN/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C#N)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(C#N)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0098,carbazole_C2_CF3/Ph,carbazole,C2,phosphonic acid,CF3/Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C(F)(F)F)cc2c2cc(c3ccccc3)ccc21,O=P(O)(O)CCn1c2ccc(-c3ccccc3)cc2c2cc(C(F)(F)F)ccc21
VSAM-L0099,carbazole_C2_CF3/Th,carbazole,C2,phosphonic acid,CF3/Th,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C(F)(F)F)cc2c2cc(c3ccsc3)ccc21,O=P(O)(O)CCn1c2ccc(-c3ccsc3)cc2c2cc(C(F)(F)F)ccc21
VSAM-L0100,carbazole_C2_CF3/Anisyl,carbazole,C2,phosphonic acid,CF3/Anisyl,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C(F)(F)F)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(C(F)(F)F)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0101,carbazole_C2_CF3/F-Ph,carbazole,C2,phosphonic acid,CF3/F-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C(F)(F)F)cc2c2cc(c3ccc(F)cc3)ccc21,O=P(O)(O)CCn1c2ccc(-c3ccc(F)cc3)cc2c2cc(C(F)(F)F)ccc21
VSAM-L0102,carbazole_C2_CF3/Cl-Ph,carbazole,C2,phosphonic acid,CF3/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C(F)(F)F)cc2c2cc(c3ccc(Cl)cc3)ccc21,O=P(O)(O)CCn1c2ccc(-c3ccc(Cl)cc3)cc2c2cc(C(F)(F)F)ccc21
VSAM-L0103,carbazole_C2_CF3/Me-Ph,carbazole,C2,phosphonic acid,CF3/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(C(F)(F)F)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(C(F)(F)F)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0104,carbazole_C2_Ph/Th,carbazole,C2,phosphonic acid,Ph/Th,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(c3ccccc3)cc2c2cc(c3ccsc3)ccc21,O=P(O)(O)CCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccsc3)ccc21
VSAM-L0105,carbazole_C2_Ph/Anisyl,carbazole,C2,phosphonic acid,Ph/Anisyl,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(c3ccccc3)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(-c4ccccc4)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0106,carbazole_C2_Ph/F-Ph,carbazole,C2,phosphonic acid,Ph/F-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(c3ccccc3)cc2c2cc(c3ccc(F)cc3)ccc21,O=P(O)(O)CCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccc(F)cc3)ccc21
VSAM-L0107,carbazole_C2_Ph/Cl-Ph,carbazole,C2,phosphonic acid,Ph/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(c3ccccc3)cc2c2cc(c3ccc(Cl)cc3)ccc21,O=P(O)(O)CCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccc(Cl)cc3)ccc21
VSAM-L0108,carbazole_C2_Ph/Me-Ph,carbazole,C2,phosphonic acid,Ph/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(c3ccccc3)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(-c4ccccc4)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0109,carbazole_C2_Th/Anisyl,carbazole,C2,phosphonic acid,Th/Anisyl,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(c3ccsc3)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(-c4ccsc4)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0110,carbazole_C2_Th/F-Ph,carbazole,C2,phosphonic acid,Th/F-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(c3ccsc3)cc2c2cc(c3ccc(F)cc3)ccc21,O=P(O)(O)CCn1c2ccc(-c3ccc(F)cc3)cc2c2cc(-c3ccsc3)ccc21
VSAM-L0111,carbazole_C2_Th/Cl-Ph,carbazole,C2,phosphonic acid,Th/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(c3ccsc3)cc2c2cc(c3ccc(Cl)cc3)ccc21,O=P(O)(O)CCn1c2ccc(-c3ccc(Cl)cc3)cc2c2cc(-c3ccsc3)ccc21
VSAM-L0112,carbazole_C2_Th/Me-Ph,carbazole,C2,phosphonic acid,Th/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(c3ccsc3)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(-c4ccsc4)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0113,carbazole_C2_Anisyl/F-Ph,carbazole,C2,phosphonic acid,Anisyl/F-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(OC)cc3)cc2c2cc(c3ccc(F)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(-c4ccc(F)cc4)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0114,carbazole_C2_Anisyl/Cl-Ph,carbazole,C2,phosphonic acid,Anisyl/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(OC)cc3)cc2c2cc(c3ccc(Cl)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(-c4ccc(Cl)cc4)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0115,carbazole_C2_Anisyl/Me-Ph,carbazole,C2,phosphonic acid,Anisyl/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(OC)cc3)cc2c2cc(c3ccc(C)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(-c4ccc(C)cc4)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0116,carbazole_C2_F-Ph/Cl-Ph,carbazole,C2,phosphonic acid,F-Ph/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(F)cc3)cc2c2cc(c3ccc(Cl)cc3)ccc21,O=P(O)(O)CCn1c2ccc(-c3ccc(F)cc3)cc2c2cc(-c3ccc(Cl)cc3)ccc21
VSAM-L0117,carbazole_C2_F-Ph/Me-Ph,carbazole,C2,phosphonic acid,F-Ph/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(F)cc3)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(-c4ccc(F)cc4)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0118,carbazole_C2_Cl-Ph/Me-Ph,carbazole,C2,phosphonic acid,Cl-Ph/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(c3ccc(Cl)cc3)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(-c4ccc(Cl)cc4)ccc2n3CCP(=O)(O)O)cc1
VSAM-L0119,carbazole_C3_H,carbazole,C3,phosphonic acid,H,PACz-like parent,O=P(O)(O)CCCn1c2ccccc2c2ccccc21,O=P(O)(O)CCCn1c2ccccc2c2ccccc21
VSAM-L0120,carbazole_C3_mono-F-A,carbazole,C3,phosphonic acid,mono-F-A,halogenated carbazole,O=P(O)(O)CCCn1c2ccc(F)cc2c2ccccc21,O=P(O)(O)CCCn1c2ccccc2c2cc(F)ccc21
VSAM-L0121,carbazole_C3_mono-F-B,carbazole,C3,phosphonic acid,mono-F-B,halogenated carbazole,O=P(O)(O)CCCn1c2ccccc2c2ccc(F)cc21,O=P(O)(O)CCCn1c2ccccc2c2ccc(F)cc21
VSAM-L0122,carbazole_C3_di-F,carbazole,C3,phosphonic acid,di-F,halogenated carbazole,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(F)ccc21,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(F)ccc21
VSAM-L0123,carbazole_C3_mono-Cl-A,carbazole,C3,phosphonic acid,mono-Cl-A,halogenated carbazole,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2ccccc21,O=P(O)(O)CCCn1c2ccccc2c2cc(Cl)ccc21
VSAM-L0124,carbazole_C3_mono-Cl-B,carbazole,C3,phosphonic acid,mono-Cl-B,halogenated carbazole,O=P(O)(O)CCCn1c2ccccc2c2ccc(Cl)cc21,O=P(O)(O)CCCn1c2ccccc2c2ccc(Cl)cc21
VSAM-L0125,carbazole_C3_di-Cl,carbazole,C3,phosphonic acid,di-Cl,halogenated carbazole,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21
VSAM-L0126,carbazole_C3_mono-Br-A,carbazole,C3,phosphonic acid,mono-Br-A,halogenated carbazole,O=P(O)(O)CCCn1c2ccc(Br)cc2c2ccccc21,O=P(O)(O)CCCn1c2ccccc2c2cc(Br)ccc21
VSAM-L0127,carbazole_C3_mono-Br-B,carbazole,C3,phosphonic acid,mono-Br-B,halogenated carbazole,O=P(O)(O)CCCn1c2ccccc2c2ccc(Br)cc21,O=P(O)(O)CCCn1c2ccccc2c2ccc(Br)cc21
VSAM-L0128,carbazole_C3_di-Br,carbazole,C3,phosphonic acid,di-Br,halogenated carbazole,O=P(O)(O)CCCn1c2ccc(Br)cc2c2cc(Br)ccc21,O=P(O)(O)CCCn1c2ccc(Br)cc2c2cc(Br)ccc21
VSAM-L0129,carbazole_C3_mono-Me-A,carbazole,C3,phosphonic acid,mono-Me-A,alkylated carbazole,O=P(O)(O)CCCn1c2ccc(C)cc2c2ccccc21,Cc1ccc2c(c1)c1ccccc1n2CCCP(=O)(O)O
VSAM-L0130,carbazole_C3_mono-Me-B,carbazole,C3,phosphonic acid,mono-Me-B,alkylated carbazole,O=P(O)(O)CCCn1c2ccccc2c2ccc(C)cc21,Cc1ccc2c3ccccc3n(CCCP(=O)(O)O)c2c1
VSAM-L0131,carbazole_C3_di-Me,carbazole,C3,phosphonic acid,di-Me,alkylated carbazole,O=P(O)(O)CCCn1c2ccc(C)cc2c2cc(C)ccc21,Cc1ccc2c(c1)c1cc(C)ccc1n2CCCP(=O)(O)O
VSAM-L0132,carbazole_C3_mono-OMe-A,carbazole,C3,phosphonic acid,mono-OMe-A,electron-rich carbazole,O=P(O)(O)CCCn1c2ccc(OC)cc2c2ccccc21,COc1ccc2c(c1)c1ccccc1n2CCCP(=O)(O)O
VSAM-L0133,carbazole_C3_mono-OMe-B,carbazole,C3,phosphonic acid,mono-OMe-B,electron-rich carbazole,O=P(O)(O)CCCn1c2ccccc2c2ccc(OC)cc21,COc1ccc2c3ccccc3n(CCCP(=O)(O)O)c2c1
VSAM-L0134,carbazole_C3_di-OMe,carbazole,C3,phosphonic acid,di-OMe,electron-rich carbazole,O=P(O)(O)CCCn1c2ccc(OC)cc2c2cc(OC)ccc21,COc1ccc2c(c1)c1cc(OC)ccc1n2CCCP(=O)(O)O
VSAM-L0135,carbazole_C3_mono-CN-A,carbazole,C3,phosphonic acid,mono-CN-A,electron-withdrawing carbazole,O=P(O)(O)CCCn1c2ccc(C#N)cc2c2ccccc21,N#Cc1ccc2c(c1)c1ccccc1n2CCCP(=O)(O)O
VSAM-L0136,carbazole_C3_mono-CN-B,carbazole,C3,phosphonic acid,mono-CN-B,electron-withdrawing carbazole,O=P(O)(O)CCCn1c2ccccc2c2ccc(C#N)cc21,N#Cc1ccc2c3ccccc3n(CCCP(=O)(O)O)c2c1
VSAM-L0137,carbazole_C3_di-CN,carbazole,C3,phosphonic acid,di-CN,electron-withdrawing carbazole,O=P(O)(O)CCCn1c2ccc(C#N)cc2c2cc(C#N)ccc21,N#Cc1ccc2c(c1)c1cc(C#N)ccc1n2CCCP(=O)(O)O
VSAM-L0138,carbazole_C3_mono-CF3-A,carbazole,C3,phosphonic acid,mono-CF3-A,fluoroalkylated carbazole,O=P(O)(O)CCCn1c2ccc(C(F)(F)F)cc2c2ccccc21,O=P(O)(O)CCCn1c2ccccc2c2cc(C(F)(F)F)ccc21
VSAM-L0139,carbazole_C3_mono-CF3-B,carbazole,C3,phosphonic acid,mono-CF3-B,fluoroalkylated carbazole,O=P(O)(O)CCCn1c2ccccc2c2ccc(C(F)(F)F)cc21,O=P(O)(O)CCCn1c2ccccc2c2ccc(C(F)(F)F)cc21
VSAM-L0140,carbazole_C3_di-CF3,carbazole,C3,phosphonic acid,di-CF3,fluoroalkylated carbazole,O=P(O)(O)CCCn1c2ccc(C(F)(F)F)cc2c2cc(C(F)(F)F)ccc21,O=P(O)(O)CCCn1c2ccc(C(F)(F)F)cc2c2cc(C(F)(F)F)ccc21
VSAM-L0141,carbazole_C3_mono-Ph-A,carbazole,C3,phosphonic acid,mono-Ph-A,aryl-extended carbazole,O=P(O)(O)CCCn1c2ccc(c3ccccc3)cc2c2ccccc21,O=P(O)(O)CCCn1c2ccccc2c2cc(-c3ccccc3)ccc21
VSAM-L0142,carbazole_C3_mono-Ph-B,carbazole,C3,phosphonic acid,mono-Ph-B,aryl-extended carbazole,O=P(O)(O)CCCn1c2ccccc2c2ccc(c3ccccc3)cc21,O=P(O)(O)CCCn1c2ccccc2c2ccc(-c3ccccc3)cc21
VSAM-L0143,carbazole_C3_di-Ph,carbazole,C3,phosphonic acid,di-Ph,aryl-extended carbazole,O=P(O)(O)CCCn1c2ccc(c3ccccc3)cc2c2cc(c3ccccc3)ccc21,O=P(O)(O)CCCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21
VSAM-L0144,carbazole_C3_mono-Th-A,carbazole,C3,phosphonic acid,mono-Th-A,thiophene-extended carbazole,O=P(O)(O)CCCn1c2ccc(c3ccsc3)cc2c2ccccc21,O=P(O)(O)CCCn1c2ccccc2c2cc(-c3ccsc3)ccc21
VSAM-L0145,carbazole_C3_mono-Th-B,carbazole,C3,phosphonic acid,mono-Th-B,thiophene-extended carbazole,O=P(O)(O)CCCn1c2ccccc2c2ccc(c3ccsc3)cc21,O=P(O)(O)CCCn1c2ccccc2c2ccc(-c3ccsc3)cc21
VSAM-L0146,carbazole_C3_di-Th,carbazole,C3,phosphonic acid,di-Th,thiophene-extended carbazole,O=P(O)(O)CCCn1c2ccc(c3ccsc3)cc2c2cc(c3ccsc3)ccc21,O=P(O)(O)CCCn1c2ccc(-c3ccsc3)cc2c2cc(-c3ccsc3)ccc21
VSAM-L0147,carbazole_C3_mono-Anisyl-A,carbazole,C3,phosphonic acid,mono-Anisyl-A,electron-rich aryl-carbazole,O=P(O)(O)CCCn1c2ccc(c3ccc(OC)cc3)cc2c2ccccc21,COc1ccc(-c2ccc3c(c2)c2ccccc2n3CCCP(=O)(O)O)cc1
VSAM-L0148,carbazole_C3_mono-Anisyl-B,carbazole,C3,phosphonic acid,mono-Anisyl-B,electron-rich aryl-carbazole,O=P(O)(O)CCCn1c2ccccc2c2ccc(c3ccc(OC)cc3)cc21,COc1ccc(-c2ccc3c4ccccc4n(CCCP(=O)(O)O)c3c2)cc1
VSAM-L0149,carbazole_C3_di-Anisyl,carbazole,C3,phosphonic acid,di-Anisyl,electron-rich aryl-carbazole,O=P(O)(O)CCCn1c2ccc(c3ccc(OC)cc3)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(-c4ccc(OC)cc4)ccc2n3CCCP(=O)(O)O)cc1
VSAM-L0150,carbazole_C3_mono-F-Ph-A,carbazole,C3,phosphonic acid,mono-F-Ph-A,halogenated aryl-carbazole,O=P(O)(O)CCCn1c2ccc(c3ccc(F)cc3)cc2c2ccccc21,O=P(O)(O)CCCn1c2ccccc2c2cc(-c3ccc(F)cc3)ccc21
VSAM-L0151,carbazole_C3_mono-F-Ph-B,carbazole,C3,phosphonic acid,mono-F-Ph-B,halogenated aryl-carbazole,O=P(O)(O)CCCn1c2ccccc2c2ccc(c3ccc(F)cc3)cc21,O=P(O)(O)CCCn1c2ccccc2c2ccc(-c3ccc(F)cc3)cc21
VSAM-L0152,carbazole_C3_di-F-Ph,carbazole,C3,phosphonic acid,di-F-Ph,halogenated aryl-carbazole,O=P(O)(O)CCCn1c2ccc(c3ccc(F)cc3)cc2c2cc(c3ccc(F)cc3)ccc21,O=P(O)(O)CCCn1c2ccc(-c3ccc(F)cc3)cc2c2cc(-c3ccc(F)cc3)ccc21
VSAM-L0153,carbazole_C3_mono-Cl-Ph-A,carbazole,C3,phosphonic acid,mono-Cl-Ph-A,halogenated aryl-carbazole,O=P(O)(O)CCCn1c2ccc(c3ccc(Cl)cc3)cc2c2ccccc21,O=P(O)(O)CCCn1c2ccccc2c2cc(-c3ccc(Cl)cc3)ccc21
VSAM-L0154,carbazole_C3_mono-Cl-Ph-B,carbazole,C3,phosphonic acid,mono-Cl-Ph-B,halogenated aryl-carbazole,O=P(O)(O)CCCn1c2ccccc2c2ccc(c3ccc(Cl)cc3)cc21,O=P(O)(O)CCCn1c2ccccc2c2ccc(-c3ccc(Cl)cc3)cc21
VSAM-L0155,carbazole_C3_di-Cl-Ph,carbazole,C3,phosphonic acid,di-Cl-Ph,halogenated aryl-carbazole,O=P(O)(O)CCCn1c2ccc(c3ccc(Cl)cc3)cc2c2cc(c3ccc(Cl)cc3)ccc21,O=P(O)(O)CCCn1c2ccc(-c3ccc(Cl)cc3)cc2c2cc(-c3ccc(Cl)cc3)ccc21
VSAM-L0156,carbazole_C3_mono-Me-Ph-A,carbazole,C3,phosphonic acid,mono-Me-Ph-A,alkylaryl carbazole,O=P(O)(O)CCCn1c2ccc(c3ccc(C)cc3)cc2c2ccccc21,Cc1ccc(-c2ccc3c(c2)c2ccccc2n3CCCP(=O)(O)O)cc1
VSAM-L0157,carbazole_C3_mono-Me-Ph-B,carbazole,C3,phosphonic acid,mono-Me-Ph-B,alkylaryl carbazole,O=P(O)(O)CCCn1c2ccccc2c2ccc(c3ccc(C)cc3)cc21,Cc1ccc(-c2ccc3c4ccccc4n(CCCP(=O)(O)O)c3c2)cc1
VSAM-L0158,carbazole_C3_di-Me-Ph,carbazole,C3,phosphonic acid,di-Me-Ph,alkylaryl carbazole,O=P(O)(O)CCCn1c2ccc(c3ccc(C)cc3)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(-c4ccc(C)cc4)ccc2n3CCCP(=O)(O)O)cc1
VSAM-L0159,carbazole_C3_F/Cl,carbazole,C3,phosphonic acid,F/Cl,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(Cl)ccc21,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(Cl)ccc21
VSAM-L0160,carbazole_C3_F/Br,carbazole,C3,phosphonic acid,F/Br,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(Br)ccc21,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(Br)ccc21
VSAM-L0161,carbazole_C3_F/Me,carbazole,C3,phosphonic acid,F/Me,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(C)ccc21,Cc1ccc2c(c1)c1cc(F)ccc1n2CCCP(=O)(O)O
VSAM-L0162,carbazole_C3_F/OMe,carbazole,C3,phosphonic acid,F/OMe,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(OC)ccc21,COc1ccc2c(c1)c1cc(F)ccc1n2CCCP(=O)(O)O
VSAM-L0163,carbazole_C3_F/CN,carbazole,C3,phosphonic acid,F/CN,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(C#N)ccc21,N#Cc1ccc2c(c1)c1cc(F)ccc1n2CCCP(=O)(O)O
VSAM-L0164,carbazole_C3_F/CF3,carbazole,C3,phosphonic acid,F/CF3,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(C(F)(F)F)ccc21,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(C(F)(F)F)ccc21
VSAM-L0165,carbazole_C3_F/Ph,carbazole,C3,phosphonic acid,F/Ph,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(c3ccccc3)ccc21,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(-c3ccccc3)ccc21
VSAM-L0166,carbazole_C3_F/Th,carbazole,C3,phosphonic acid,F/Th,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(c3ccsc3)ccc21,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(-c3ccsc3)ccc21
VSAM-L0167,carbazole_C3_F/Anisyl,carbazole,C3,phosphonic acid,F/Anisyl,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(F)ccc2n3CCCP(=O)(O)O)cc1
VSAM-L0168,carbazole_C3_F/F-Ph,carbazole,C3,phosphonic acid,F/F-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(c3ccc(F)cc3)ccc21,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(-c3ccc(F)cc3)ccc21
VSAM-L0169,carbazole_C3_F/Cl-Ph,carbazole,C3,phosphonic acid,F/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(c3ccc(Cl)cc3)ccc21,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(-c3ccc(Cl)cc3)ccc21
VSAM-L0170,carbazole_C3_F/Me-Ph,carbazole,C3,phosphonic acid,F/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(F)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(F)ccc2n3CCCP(=O)(O)O)cc1
VSAM-L0171,carbazole_C3_Cl/Br,carbazole,C3,phosphonic acid,Cl/Br,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(Br)ccc21,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(Br)ccc21
VSAM-L0172,carbazole_C3_Cl/Me,carbazole,C3,phosphonic acid,Cl/Me,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(C)ccc21,Cc1ccc2c(c1)c1cc(Cl)ccc1n2CCCP(=O)(O)O
VSAM-L0173,carbazole_C3_Cl/OMe,carbazole,C3,phosphonic acid,Cl/OMe,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(OC)ccc21,COc1ccc2c(c1)c1cc(Cl)ccc1n2CCCP(=O)(O)O
VSAM-L0174,carbazole_C3_Cl/CN,carbazole,C3,phosphonic acid,Cl/CN,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(C#N)ccc21,N#Cc1ccc2c(c1)c1cc(Cl)ccc1n2CCCP(=O)(O)O
VSAM-L0175,carbazole_C3_Cl/CF3,carbazole,C3,phosphonic acid,Cl/CF3,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(C(F)(F)F)ccc21,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(C(F)(F)F)ccc21
VSAM-L0176,carbazole_C3_Cl/Ph,carbazole,C3,phosphonic acid,Cl/Ph,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(c3ccccc3)ccc21,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(-c3ccccc3)ccc21
VSAM-L0177,carbazole_C3_Cl/Th,carbazole,C3,phosphonic acid,Cl/Th,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(c3ccsc3)ccc21,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(-c3ccsc3)ccc21
VSAM-L0178,carbazole_C3_Cl/Anisyl,carbazole,C3,phosphonic acid,Cl/Anisyl,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(Cl)ccc2n3CCCP(=O)(O)O)cc1
VSAM-L0179,carbazole_C3_Cl/F-Ph,carbazole,C3,phosphonic acid,Cl/F-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(c3ccc(F)cc3)ccc21,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(-c3ccc(F)cc3)ccc21
VSAM-L0180,carbazole_C3_Cl/Cl-Ph,carbazole,C3,phosphonic acid,Cl/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(c3ccc(Cl)cc3)ccc21,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(-c3ccc(Cl)cc3)ccc21
VSAM-L0181,carbazole_C3_Cl/Me-Ph,carbazole,C3,phosphonic acid,Cl/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(Cl)ccc2n3CCCP(=O)(O)O)cc1
VSAM-L0182,carbazole_C3_Br/Me,carbazole,C3,phosphonic acid,Br/Me,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(Br)cc2c2cc(C)ccc21,Cc1ccc2c(c1)c1cc(Br)ccc1n2CCCP(=O)(O)O
VSAM-L0183,carbazole_C3_Br/OMe,carbazole,C3,phosphonic acid,Br/OMe,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(Br)cc2c2cc(OC)ccc21,COc1ccc2c(c1)c1cc(Br)ccc1n2CCCP(=O)(O)O
VSAM-L0184,carbazole_C3_Br/CN,carbazole,C3,phosphonic acid,Br/CN,mixed-disubstituted carbazole,O=P(O)(O)CCCn1c2ccc(Br)cc2c2cc(C#N)ccc21,N#Cc1ccc2c(c1)c1cc(Br)ccc1n2CCCP(=O)(O)O
